A1BG
A2M
A2MP1
NAT1
NAT2
NATP
SERPINA3
AADAC
AAMP
AANAT
AARS
AAVS1
ABAT
ABCA1
ABCA2
ABCA3
ABCB7
ABCF1
ABCA4
ABL1
AOC1
ABL2
ABO
ABR
ACAA1
ACACA
ACACB
ACADL
ACADM
ACADS
ACADSB
ACADVL
ACAT1
ACAT2
ASIC2
ASIC1
ACHE
ACLS
ACLY
ACO1
ACR
ACO2
ACOX1
ACP1
ACP2
ACP5
ACPP
ACRV1
ACTA1
ACTA2
ACTB
ACTBP2
ACTBP3
ACTBP4
ACTBP6
ACTBP7
ACTBP8
ACTBP9
ACTC1
ACTG1
ACTG2
ACTG1P1
ACTG1P2
ACTG1P3
ACTG1P6
ACTG1P7
ACTG1P8
ACTN4
ACTG1P9
ACTG1P10
ACTL6A
ACTN1
ACTN2
ACTN3
ACVR1
ACVR1B
ACVR2A
ACVR2B
ACVRL1
ACY1
ACYP1
ACYP2
ADA
ADAM8
ADAM10
ADAR
ADARB1
ADARB2
ADCP1
ADCY1
ADCY2
ADCY3
ADCY5
ADCY6
ADCY7
ADCY8
ADCY9
ADCYAP1
ADCYAP1R1
ADD1
ADD2
ADD3
ADFN
PLIN2
ADH1A
ADH1B
ADH1C
ADH4
ADH5
ADH6
ADH7
ADK
ADM
ADORA1
ADORA2A
ADORA2B
ADORA2BP1
ADORA3
ADPRH
PARP1
PARP4
PARP1P1
PARP1P2
ADRA1D
ADRA1B
ADRA1A
ADRA2A
ADRA2B
ADRA2C
ADRB1
ADRB2
ADRB3
ADRBK1
ADRBK2
ADSL
ADSS
AP2A1
AP2A2
AP1B1
AP2B1
AP1G1
AEBP1
AES
CRISP1
AF8T
AFA
AFD1
AFG3L1P
AFM
AFP
AGA
ACAN
AGER
AGL
AGMX2
AGRP
JAG1
AGT
AGTR1
AGTR2
APLNR
AGXT
NR0B1
AHCY
AIC
AHR
AHSG
AIF1
AIH3
AIM1
AK1
AK2
AK4
AK4P1
AKT1
AKT2
ALAD
ALAS1
ALAS2
ALB
ALCAM
ABCD1
ALDH1A1
ALDH2
ALDH3A1
ALDH1B1
ALDH1A3
ALDH3B1
ALDH3B2
ALDH9A1
ALDH3A2
ABCD2
ALDOA
ALDOAP2
ALDOB
ALDOC
AKR1B1
AKR1B1P2
ALK
ALOX12
ALOX5
ALOX5AP
ALOX12B
ALOX12P1
ALOX12P2
ALOX15
ALOX15B
ALPI
ALPL
ALPP
ALPPL2
ALS3
ALS5
ALX3
AMBN
AMBP
AMCN
AMD1
AMDP1
AMELX
AMELY
AMFR
AMH
AMHR2
AMPD1
AMPD2
AMPD3
AMPH
BIN1
AMT
AMY1A
AMY1B
AMY1C
AMY2A
AMY2B
AMYP1
ANCR
ANG
ANGPT1
ANGPT2
ANK1
ANK2
ANK3
ANOP1
ANPEP
SLC25A4
SLC25A5
SLC25A6
ANXA1
ANXA2
ANXA2P1
ANXA2P2
ANXA2P3
ANXA3
ANXA4
ANXA5
ANXA6
ANXA7
ANXA11
ANXA13
AOAH
AOC2
AOX1
APAF1
NUDT2
APOF
APBA1
APBA2
APBB1
APBB2
APC
APCS
AIRE
APEH
APEX1
BIRC2
BIRC3
XIAP
BIRC5
APLP1
APLP2
APOA1
APOA2
APOA4
APOB
APOBEC1
APOC1
APOC1P1
AQP8
APOC2
APOC3
APOC4
APOD
APOE
APOH
APP
APRT
KLK3
FAS
FASLG
SHROOM2
AQP1
AQP2
AQP3
AQP4
AQP5
AQP6
AQP7
AQP9
AR
ABCC6
ARAF
ARCN1
TRIM23
AREG
ARF1
ARF3
ARF4
ARL4D
